Filter,Paper FNMR,+MeanShift,AdaFace,+LinearCorr,Improvement%
blur,0.9433333333333334,0.6,0.6733333333333333,0.4666666666666667,-10.526315789473687
brightness,0.9433333333333334,0.8,0.6166666666666667,0.4666666666666667,0.0
skin_smooth,0.9833333333333333,0.6222222222222222,0.6466666666666666,0.8,-56.5217391304348
eye_enlarge,0.9333333333333333,0.6888888888888889,0.65,0.4666666666666667,4.5454545454545405
face_slim,0.9666666666666667,0.6222222222222222,0.7133333333333334,0.7333333333333333,0.0
color_tone,0.9166666666666666,0.6666666666666666,0.61,0.4666666666666667,4.5454545454545405
